original_case_id,storm_name,ibtracs_id,max_wind_kt,min_pressure_hpa,max_category,duration_hours,landfall_yn,source_agency,retrieval_date
TC_2023_MOCHA,MOCHA,2023129N08091,115.0,938.0,5.0,150.0,Y,WMO (IBTrACS),2026-08-02
TC_2020_AMPHAN,AMPHAN,2020136N10088,130.0,920.0,5.0,150.0,Y,WMO (IBTrACS),2026-08-02
TC_2019_FANI,FANI,2019116N02090,115.0,932.0,5.0,210.0,Y,WMO (IBTrACS),2026-08-02
TC_2008_NARGIS,NARGIS,2008117N11090,90.0,962.0,4.0,204.0,Y,WMO (IBTrACS),2026-08-02
TC_2021_TAUKTAE,TAUKTAE,2021133N10071,100.0,950.0,4.0,144.0,Y,WMO (IBTrACS),2026-08-02
TC_2021_YAAS,YAAS,2021143N15090,75.0,970.0,1.0,114.0,Y,WMO (IBTrACS),2026-08-02
TC_2019_KYARR,KYAAR:KYARR,2019296N15066,130.0,922.0,4.0,276.0,N,WMO (IBTrACS),2026-08-02
TC_2014_HUDHUD,HUDHUD,2014279N11096,100.0,950.0,4.0,195.0,Y,WMO (IBTrACS),2026-08-02
TC_2013_PHAILIN,PHAILIN,2013281N12098,115.0,940.0,5.0,162.0,Y,WMO (IBTrACS),2026-08-02
TC_2019_BULBUL,BULBUL:MATMO,2019302N11118,75.0,976.0,3.0,324.0,Y,WMO (IBTrACS),2026-08-02
CTRL_2023_IND_01,CTRL_2023_IND_01,NA,,,,,NA,NA,2026-08-02
CTRL_2023_IND_02,CTRL_2023_IND_02,NA,,,,,NA,NA,2026-08-02
CTRL_2022_MON_LOW1,CTRL_2022_MON_LOW1,NA,,,,,NA,NA,2026-08-02
CTRL_2022_MON_LOW2,CTRL_2022_MON_LOW2,NA,,,,,NA,NA,2026-08-02
CTRL_2021_TROUGH1,CTRL_2021_TROUGH1,NA,,,,,NA,NA,2026-08-02
CTRL_2021_DEP_01,CTRL_2021_DEP_01,NA,,,,,NA,NA,2026-08-02
CTRL_2020_SHEAR_01,CTRL_2020_SHEAR_01,NA,,,,,NA,NA,2026-08-02
CTRL_2020_SURGE_01,CTRL_2020_SURGE_01,NA,,,,,NA,NA,2026-08-02
CTRL_2019_TROUGH2,CTRL_2019_TROUGH2,NA,,,,,NA,NA,2026-08-02
CTRL_2018_LOW_03,CTRL_2018_LOW_03,NA,,,,,NA,NA,2026-08-02
