filename,class
c2_uuid_a8aaadc4.nc,Cyclone
c2_uuid_fa40c633.nc,Cyclone
c2_uuid_aebda966.nc,Cyclone
c2_uuid_d60e0f4a.nc,Cyclone
c2_uuid_4c0d80da.nc,Cyclone
c2_uuid_495c8cf2.nc,Cyclone
c2_uuid_f544906f.nc,Cyclone
c2_uuid_aa20f8c4.nc,Cyclone
c2_uuid_49511e7b.nc,Cyclone
c2_uuid_80ab3494.nc,Cyclone
c2_uuid_ec81d97e.nc,Control
c2_uuid_fbf4a196.nc,Control
c2_uuid_c6fae318.nc,Control
c2_uuid_4b4eea26.nc,Control
c2_uuid_735327ae.nc,Control
c2_uuid_ff53a69a.nc,Control
c2_uuid_eb59c68d.nc,Control
c2_uuid_4df18da4.nc,Control
c2_uuid_fca79975.nc,Control
c2_uuid_dc364aad.nc,Control
