filename,case_type,basin,original_case_id
c2_uuid_a8aaadc4.nc,Cyclone,Bay_of_Bengal,TC_2023_MOCHA
c2_uuid_fa40c633.nc,Cyclone,Bay_of_Bengal,TC_2020_AMPHAN
c2_uuid_aebda966.nc,Cyclone,Bay_of_Bengal,TC_2019_FANI
c2_uuid_d60e0f4a.nc,Cyclone,Bay_of_Bengal,TC_2008_NARGIS
c2_uuid_4c0d80da.nc,Cyclone,Arabian_Sea,TC_2021_TAUKTAE
c2_uuid_495c8cf2.nc,Cyclone,Bay_of_Bengal,TC_2021_YAAS
c2_uuid_f544906f.nc,Cyclone,Arabian_Sea,TC_2019_KYARR
c2_uuid_aa20f8c4.nc,Cyclone,Bay_of_Bengal,TC_2014_HUDHUD
c2_uuid_49511e7b.nc,Cyclone,Bay_of_Bengal,TC_2013_PHAILIN
c2_uuid_80ab3494.nc,Cyclone,Bay_of_Bengal,TC_2019_BULBUL
c2_uuid_ec81d97e.nc,Control,Indian_Ocean_Equatorial,CTRL_2023_IND_01
c2_uuid_fbf4a196.nc,Control,Bay_of_Bengal,CTRL_2023_IND_02
c2_uuid_c6fae318.nc,Control,Central_India,CTRL_2022_MON_LOW1
c2_uuid_4b4eea26.nc,Control,North_Bay_of_Bengal,CTRL_2022_MON_LOW2
c2_uuid_735327ae.nc,Control,Arabian_Sea_Offshore,CTRL_2021_TROUGH1
c2_uuid_ff53a69a.nc,Control,Bay_of_Bengal,CTRL_2021_DEP_01
c2_uuid_eb59c68d.nc,Control,South_India,CTRL_2020_SHEAR_01
c2_uuid_4df18da4.nc,Control,Arabian_Sea,CTRL_2020_SURGE_01
c2_uuid_fca79975.nc,Control,Bay_of_Bengal,CTRL_2019_TROUGH2
c2_uuid_dc364aad.nc,Control,Central_India,CTRL_2018_LOW_03
