,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
global_c_phi,0.36073956090675646,-0.03268276597940214,-0.17693364734739078,-0.3505835586709163,0.8149708255703455,-0.09189353288195794,-0.0905117202393022,-0.035118057505761684,0.14672430143522988,0.10257291514932988,-0.02208433600630998,-2.6116877615926663e-16
max_vorticity,0.42636822691917986,0.07224186151041717,0.1821259806374471,0.16900223198231343,-0.022211410160371488,-0.010613221287694506,0.4823868782405736,-0.08270193247386481,0.051503831185280805,-0.08915397305847705,0.022712300659860598,0.7071067811865476
center_vorticity,0.4263682269191798,0.07224186151041713,0.18212598063744692,0.16900223198231365,-0.022211410160371776,-0.010613221287694565,0.48238687824057336,-0.08270193247386501,0.051503831185280846,-0.08915397305847779,0.022712300659859266,-0.7071067811865476
max_wind_speed,0.4183324601914802,-0.07547590376341097,0.16129989890250843,-0.07409257966386214,-0.16931524496003458,-0.5198558398582892,-0.3011651900384624,0.21774622130189986,-0.589128739065982,0.060742625705613576,-1.378930470911743e-05,9.856606259528356e-17
mean_wind_speed,0.3944131584355846,-0.09419540620882298,-0.26763406145493457,0.06358546215098414,-0.3637077822252427,-0.09098336444383917,-0.27811939597023344,0.3116111339109247,0.6577166945125421,0.04547263349356763,-0.10110466244458462,2.343452649130259e-16
mean_local_c_phi,0.002282829773211875,-0.26840042507515116,0.5821216191785393,-0.1785878880136798,0.02143429220802081,0.1503284570835514,-0.13230568347134053,0.1648685589202643,0.21213378573849553,0.04404233715655501,0.6652156095903591,-7.272371278974448e-16
std_local_c_phi,-0.08631426069214843,0.4884206622176246,0.18509466365596042,0.09730532590446243,0.016926274001731172,-0.10806145034438357,0.057148155606009526,0.10274003383745794,0.0985084887100119,0.8213204879724417,-0.014500889674586794,-3.222404330816326e-16
min_local_c_phi,0.1432672087525595,-0.4079864072260373,0.11172613795669317,0.5462009074245756,0.09452082152624433,0.09886097158058244,-0.3314041085908221,-0.5417580577284655,-0.0016637242085951103,0.26827643615260793,-0.09050010695825952,9.083261809734415e-17
max_local_c_phi,0.2266723319328763,0.39231446435818357,0.11982837600887332,0.28733562050502415,0.1658906208790833,0.5983626652677577,-0.3367737296208534,0.34274760952354655,-0.18942265485990858,-0.19352013198251117,-0.08948400274909551,2.0638596722102913e-16
p25_local_c_phi,0.07460569983971431,-0.4647305216658699,0.14079158598648886,-0.3439795493445909,-0.11670453582037249,0.4237133412771167,0.20896169858753624,0.21971118817928822,-0.13889827310497654,0.31745602258531047,-0.48492611008220265,3.0642517322294567e-16
p75_local_c_phi,-0.16343884671330722,0.11783505194709637,0.6194401570217128,-0.06090413787661623,0.10382155506645437,-0.27600709603980067,-0.15439744193043764,-0.05480763569714119,0.2891474063380162,-0.28473298616262144,-0.5417627215016475,8.598709993361145e-16
median_center_distance,-0.2531481451751272,-0.33631538914613573,-0.034835730348990346,0.515891891336382,0.33509130330453774,-0.234525105806596,0.21643258193567833,0.5835930352014439,0.003929410286525035,-0.006629441269828393,-0.02604830402622011,-2.172459858108818e-17
