query,query_class,k,representation,matches,precision,recall
c2_uuid_49511e7b.nc,Cyclone,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_495c8cf2.nc,Cyclone,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_4b4eea26.nc,Control,1,TRACEBIND (12D),0,0.0,0.0
c2_uuid_4c0d80da.nc,Cyclone,1,TRACEBIND (12D),0,0.0,0.0
c2_uuid_4df18da4.nc,Control,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_735327ae.nc,Control,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_80ab3494.nc,Cyclone,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_a8aaadc4.nc,Cyclone,1,TRACEBIND (12D),0,0.0,0.0
c2_uuid_aa20f8c4.nc,Cyclone,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_aebda966.nc,Cyclone,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_c6fae318.nc,Control,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_d60e0f4a.nc,Cyclone,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_dc364aad.nc,Control,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_eb59c68d.nc,Control,1,TRACEBIND (12D),0,0.0,0.0
c2_uuid_ec81d97e.nc,Control,1,TRACEBIND (12D),0,0.0,0.0
c2_uuid_f544906f.nc,Cyclone,1,TRACEBIND (12D),0,0.0,0.0
c2_uuid_fa40c633.nc,Cyclone,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_fbf4a196.nc,Control,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_fca79975.nc,Control,1,TRACEBIND (12D),0,0.0,0.0
c2_uuid_ff53a69a.nc,Control,1,TRACEBIND (12D),1,1.0,0.1111111111111111
c2_uuid_49511e7b.nc,Cyclone,3,TRACEBIND (12D),3,1.0,0.3333333333333333
c2_uuid_495c8cf2.nc,Cyclone,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_4b4eea26.nc,Control,3,TRACEBIND (12D),0,0.0,0.0
c2_uuid_4c0d80da.nc,Cyclone,3,TRACEBIND (12D),1,0.3333333333333333,0.1111111111111111
c2_uuid_4df18da4.nc,Control,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_735327ae.nc,Control,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_80ab3494.nc,Cyclone,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_a8aaadc4.nc,Cyclone,3,TRACEBIND (12D),0,0.0,0.0
c2_uuid_aa20f8c4.nc,Cyclone,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_aebda966.nc,Cyclone,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_c6fae318.nc,Control,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_d60e0f4a.nc,Cyclone,3,TRACEBIND (12D),1,0.3333333333333333,0.1111111111111111
c2_uuid_dc364aad.nc,Control,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_eb59c68d.nc,Control,3,TRACEBIND (12D),1,0.3333333333333333,0.1111111111111111
c2_uuid_ec81d97e.nc,Control,3,TRACEBIND (12D),0,0.0,0.0
c2_uuid_f544906f.nc,Cyclone,3,TRACEBIND (12D),1,0.3333333333333333,0.1111111111111111
c2_uuid_fa40c633.nc,Cyclone,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_fbf4a196.nc,Control,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_fca79975.nc,Control,3,TRACEBIND (12D),0,0.0,0.0
c2_uuid_ff53a69a.nc,Control,3,TRACEBIND (12D),2,0.6666666666666666,0.2222222222222222
c2_uuid_49511e7b.nc,Cyclone,5,TRACEBIND (12D),3,0.6,0.3333333333333333
c2_uuid_495c8cf2.nc,Cyclone,5,TRACEBIND (12D),3,0.6,0.3333333333333333
c2_uuid_4b4eea26.nc,Control,5,TRACEBIND (12D),1,0.2,0.1111111111111111
c2_uuid_4c0d80da.nc,Cyclone,5,TRACEBIND (12D),2,0.4,0.2222222222222222
c2_uuid_4df18da4.nc,Control,5,TRACEBIND (12D),3,0.6,0.3333333333333333
c2_uuid_735327ae.nc,Control,5,TRACEBIND (12D),3,0.6,0.3333333333333333
c2_uuid_80ab3494.nc,Cyclone,5,TRACEBIND (12D),3,0.6,0.3333333333333333
c2_uuid_a8aaadc4.nc,Cyclone,5,TRACEBIND (12D),1,0.2,0.1111111111111111
c2_uuid_aa20f8c4.nc,Cyclone,5,TRACEBIND (12D),2,0.4,0.2222222222222222
c2_uuid_aebda966.nc,Cyclone,5,TRACEBIND (12D),3,0.6,0.3333333333333333
c2_uuid_c6fae318.nc,Control,5,TRACEBIND (12D),3,0.6,0.3333333333333333
c2_uuid_d60e0f4a.nc,Cyclone,5,TRACEBIND (12D),2,0.4,0.2222222222222222
c2_uuid_dc364aad.nc,Control,5,TRACEBIND (12D),3,0.6,0.3333333333333333
c2_uuid_eb59c68d.nc,Control,5,TRACEBIND (12D),1,0.2,0.1111111111111111
c2_uuid_ec81d97e.nc,Control,5,TRACEBIND (12D),2,0.4,0.2222222222222222
c2_uuid_f544906f.nc,Cyclone,5,TRACEBIND (12D),2,0.4,0.2222222222222222
c2_uuid_fa40c633.nc,Cyclone,5,TRACEBIND (12D),3,0.6,0.3333333333333333
c2_uuid_fbf4a196.nc,Control,5,TRACEBIND (12D),2,0.4,0.2222222222222222
c2_uuid_fca79975.nc,Control,5,TRACEBIND (12D),1,0.2,0.1111111111111111
c2_uuid_ff53a69a.nc,Control,5,TRACEBIND (12D),2,0.4,0.2222222222222222
c2_uuid_49511e7b.nc,Cyclone,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_495c8cf2.nc,Cyclone,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_4b4eea26.nc,Control,1,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_4c0d80da.nc,Cyclone,1,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_4df18da4.nc,Control,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_735327ae.nc,Control,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_80ab3494.nc,Cyclone,1,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_a8aaadc4.nc,Cyclone,1,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_aa20f8c4.nc,Cyclone,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_aebda966.nc,Cyclone,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_c6fae318.nc,Control,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_d60e0f4a.nc,Cyclone,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_dc364aad.nc,Control,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_eb59c68d.nc,Control,1,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_ec81d97e.nc,Control,1,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_f544906f.nc,Cyclone,1,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_fa40c633.nc,Cyclone,1,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_fbf4a196.nc,Control,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_fca79975.nc,Control,1,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_ff53a69a.nc,Control,1,"PCA (5D, 95% Var)",1,1.0,0.1111111111111111
c2_uuid_49511e7b.nc,Cyclone,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_495c8cf2.nc,Cyclone,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_4b4eea26.nc,Control,3,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_4c0d80da.nc,Cyclone,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_4df18da4.nc,Control,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_735327ae.nc,Control,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_80ab3494.nc,Cyclone,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_a8aaadc4.nc,Cyclone,3,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_aa20f8c4.nc,Cyclone,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_aebda966.nc,Cyclone,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_c6fae318.nc,Control,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_d60e0f4a.nc,Cyclone,3,"PCA (5D, 95% Var)",1,0.3333333333333333,0.1111111111111111
c2_uuid_dc364aad.nc,Control,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_eb59c68d.nc,Control,3,"PCA (5D, 95% Var)",1,0.3333333333333333,0.1111111111111111
c2_uuid_ec81d97e.nc,Control,3,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_f544906f.nc,Cyclone,3,"PCA (5D, 95% Var)",1,0.3333333333333333,0.1111111111111111
c2_uuid_fa40c633.nc,Cyclone,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_fbf4a196.nc,Control,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_fca79975.nc,Control,3,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_ff53a69a.nc,Control,3,"PCA (5D, 95% Var)",2,0.6666666666666666,0.2222222222222222
c2_uuid_49511e7b.nc,Cyclone,5,"PCA (5D, 95% Var)",3,0.6,0.3333333333333333
c2_uuid_495c8cf2.nc,Cyclone,5,"PCA (5D, 95% Var)",3,0.6,0.3333333333333333
c2_uuid_4b4eea26.nc,Control,5,"PCA (5D, 95% Var)",1,0.2,0.1111111111111111
c2_uuid_4c0d80da.nc,Cyclone,5,"PCA (5D, 95% Var)",2,0.4,0.2222222222222222
c2_uuid_4df18da4.nc,Control,5,"PCA (5D, 95% Var)",3,0.6,0.3333333333333333
c2_uuid_735327ae.nc,Control,5,"PCA (5D, 95% Var)",3,0.6,0.3333333333333333
c2_uuid_80ab3494.nc,Cyclone,5,"PCA (5D, 95% Var)",3,0.6,0.3333333333333333
c2_uuid_a8aaadc4.nc,Cyclone,5,"PCA (5D, 95% Var)",1,0.2,0.1111111111111111
c2_uuid_aa20f8c4.nc,Cyclone,5,"PCA (5D, 95% Var)",2,0.4,0.2222222222222222
c2_uuid_aebda966.nc,Cyclone,5,"PCA (5D, 95% Var)",3,0.6,0.3333333333333333
c2_uuid_c6fae318.nc,Control,5,"PCA (5D, 95% Var)",3,0.6,0.3333333333333333
c2_uuid_d60e0f4a.nc,Cyclone,5,"PCA (5D, 95% Var)",2,0.4,0.2222222222222222
c2_uuid_dc364aad.nc,Control,5,"PCA (5D, 95% Var)",3,0.6,0.3333333333333333
c2_uuid_eb59c68d.nc,Control,5,"PCA (5D, 95% Var)",1,0.2,0.1111111111111111
c2_uuid_ec81d97e.nc,Control,5,"PCA (5D, 95% Var)",2,0.4,0.2222222222222222
c2_uuid_f544906f.nc,Cyclone,5,"PCA (5D, 95% Var)",2,0.4,0.2222222222222222
c2_uuid_fa40c633.nc,Cyclone,5,"PCA (5D, 95% Var)",3,0.6,0.3333333333333333
c2_uuid_fbf4a196.nc,Control,5,"PCA (5D, 95% Var)",2,0.4,0.2222222222222222
c2_uuid_fca79975.nc,Control,5,"PCA (5D, 95% Var)",1,0.2,0.1111111111111111
c2_uuid_ff53a69a.nc,Control,5,"PCA (5D, 95% Var)",2,0.4,0.2222222222222222
