query,neighbor,distance,rank
c2_uuid_49511e7b.nc,c2_uuid_aebda966.nc,1.0130579644187092,1
c2_uuid_49511e7b.nc,c2_uuid_aa20f8c4.nc,1.3474445170080236,2
c2_uuid_49511e7b.nc,c2_uuid_fa40c633.nc,2.305571455071657,3
c2_uuid_49511e7b.nc,c2_uuid_eb59c68d.nc,2.3313029225693396,4
c2_uuid_49511e7b.nc,c2_uuid_fca79975.nc,2.4104551221091333,5
c2_uuid_49511e7b.nc,c2_uuid_495c8cf2.nc,2.4106926651110423,6
c2_uuid_49511e7b.nc,c2_uuid_4b4eea26.nc,2.5018564394633884,7
c2_uuid_49511e7b.nc,c2_uuid_80ab3494.nc,2.6972202650562616,8
c2_uuid_49511e7b.nc,c2_uuid_c6fae318.nc,2.8950604497095176,9
c2_uuid_49511e7b.nc,c2_uuid_735327ae.nc,2.920806299306552,10
c2_uuid_49511e7b.nc,c2_uuid_ff53a69a.nc,3.422587687825672,11
c2_uuid_49511e7b.nc,c2_uuid_d60e0f4a.nc,3.494043608478174,12
c2_uuid_49511e7b.nc,c2_uuid_a8aaadc4.nc,3.6725287310988377,13
c2_uuid_49511e7b.nc,c2_uuid_dc364aad.nc,3.8223801165978863,14
c2_uuid_49511e7b.nc,c2_uuid_4df18da4.nc,4.366406422336916,15
c2_uuid_49511e7b.nc,c2_uuid_fbf4a196.nc,4.558958949798484,16
c2_uuid_49511e7b.nc,c2_uuid_4c0d80da.nc,5.296031994243249,17
c2_uuid_49511e7b.nc,c2_uuid_f544906f.nc,5.988291494830997,18
c2_uuid_49511e7b.nc,c2_uuid_ec81d97e.nc,9.182686828325238,19
c2_uuid_495c8cf2.nc,c2_uuid_80ab3494.nc,0.7868567816356887,1
c2_uuid_495c8cf2.nc,c2_uuid_4b4eea26.nc,0.9001503549681836,2
c2_uuid_495c8cf2.nc,c2_uuid_fa40c633.nc,1.2942005146363693,3
c2_uuid_495c8cf2.nc,c2_uuid_eb59c68d.nc,1.477541366726873,4
c2_uuid_495c8cf2.nc,c2_uuid_49511e7b.nc,2.4106926651110423,5
c2_uuid_495c8cf2.nc,c2_uuid_aebda966.nc,2.85148277085403,6
c2_uuid_495c8cf2.nc,c2_uuid_aa20f8c4.nc,3.006714574331362,7
c2_uuid_495c8cf2.nc,c2_uuid_d60e0f4a.nc,3.448803452980442,8
