query,neighbor,distance,rank
c2_uuid_49511e7b.nc,c2_uuid_aebda966.nc,1.0130579644187103,1
c2_uuid_49511e7b.nc,c2_uuid_aa20f8c4.nc,1.347444517008023,2
c2_uuid_49511e7b.nc,c2_uuid_fa40c633.nc,2.3055714550716586,3
c2_uuid_49511e7b.nc,c2_uuid_eb59c68d.nc,2.331302922569341,4
c2_uuid_49511e7b.nc,c2_uuid_fca79975.nc,2.410455122109136,5
c2_uuid_49511e7b.nc,c2_uuid_495c8cf2.nc,2.4106926651110436,6
c2_uuid_49511e7b.nc,c2_uuid_4b4eea26.nc,2.5018564394633898,7
c2_uuid_49511e7b.nc,c2_uuid_80ab3494.nc,2.697220265056263,8
c2_uuid_49511e7b.nc,c2_uuid_c6fae318.nc,2.8950604497095185,9
c2_uuid_49511e7b.nc,c2_uuid_735327ae.nc,2.9208062993065504,10
c2_uuid_49511e7b.nc,c2_uuid_ff53a69a.nc,3.422587687825677,11
c2_uuid_49511e7b.nc,c2_uuid_d60e0f4a.nc,3.4940436084781767,12
c2_uuid_49511e7b.nc,c2_uuid_a8aaadc4.nc,3.6725287310988413,13
c2_uuid_49511e7b.nc,c2_uuid_dc364aad.nc,3.8223801165978877,14
c2_uuid_49511e7b.nc,c2_uuid_4df18da4.nc,4.366406422336916,15
c2_uuid_49511e7b.nc,c2_uuid_fbf4a196.nc,4.55895894979849,16
c2_uuid_49511e7b.nc,c2_uuid_4c0d80da.nc,5.296031994243253,17
c2_uuid_49511e7b.nc,c2_uuid_f544906f.nc,5.988291494831001,18
c2_uuid_49511e7b.nc,c2_uuid_ec81d97e.nc,9.182686828325249,19
c2_uuid_495c8cf2.nc,c2_uuid_80ab3494.nc,0.7868567816356887,1
c2_uuid_495c8cf2.nc,c2_uuid_4b4eea26.nc,0.9001503549681871,2
c2_uuid_495c8cf2.nc,c2_uuid_fa40c633.nc,1.2942005146363706,3
c2_uuid_495c8cf2.nc,c2_uuid_eb59c68d.nc,1.477541366726874,4
c2_uuid_495c8cf2.nc,c2_uuid_49511e7b.nc,2.4106926651110436,5
c2_uuid_495c8cf2.nc,c2_uuid_aebda966.nc,2.851482770854032,6
c2_uuid_495c8cf2.nc,c2_uuid_aa20f8c4.nc,3.0067145743313644,7
c2_uuid_495c8cf2.nc,c2_uuid_d60e0f4a.nc,3.448803452980444,8
c2_uuid_495c8cf2.nc,c2_uuid_c6fae318.nc,3.746338380332106,9
c2_uuid_495c8cf2.nc,c2_uuid_ff53a69a.nc,4.005213307121976,10
c2_uuid_495c8cf2.nc,c2_uuid_fca79975.nc,4.090882159412838,11
c2_uuid_495c8cf2.nc,c2_uuid_735327ae.nc,4.161930706320518,12
c2_uuid_495c8cf2.nc,c2_uuid_a8aaadc4.nc,4.4567940478099155,13
c2_uuid_495c8cf2.nc,c2_uuid_dc364aad.nc,4.796889033112716,14
c2_uuid_495c8cf2.nc,c2_uuid_4df18da4.nc,5.473298428788975,15
c2_uuid_495c8cf2.nc,c2_uuid_fbf4a196.nc,5.509614740922582,16
c2_uuid_495c8cf2.nc,c2_uuid_4c0d80da.nc,5.606060393278419,17
c2_uuid_495c8cf2.nc,c2_uuid_f544906f.nc,7.474399617636961,18
c2_uuid_495c8cf2.nc,c2_uuid_ec81d97e.nc,9.493206128499015,19
c2_uuid_4b4eea26.nc,c2_uuid_80ab3494.nc,0.8151147375338689,1
c2_uuid_4b4eea26.nc,c2_uuid_495c8cf2.nc,0.9001503549681871,2
c2_uuid_4b4eea26.nc,c2_uuid_fa40c633.nc,1.2971602348927445,3
c2_uuid_4b4eea26.nc,c2_uuid_eb59c68d.nc,1.9573920949942722,4
c2_uuid_4b4eea26.nc,c2_uuid_49511e7b.nc,2.5018564394633898,5
c2_uuid_4b4eea26.nc,c2_uuid_aebda966.nc,2.7585015589849053,6
c2_uuid_4b4eea26.nc,c2_uuid_aa20f8c4.nc,3.0637283567581624,7
c2_uuid_4b4eea26.nc,c2_uuid_d60e0f4a.nc,3.300251771249464,8
c2_uuid_4b4eea26.nc,c2_uuid_ff53a69a.nc,3.5753039060250926,9
c2_uuid_4b4eea26.nc,c2_uuid_fca79975.nc,3.9203395570775994,10
c2_uuid_4b4eea26.nc,c2_uuid_a8aaadc4.nc,4.0305205540835995,11
c2_uuid_4b4eea26.nc,c2_uuid_c6fae318.nc,4.037790096644982,12
c2_uuid_4b4eea26.nc,c2_uuid_735327ae.nc,4.0656195589238635,13
c2_uuid_4b4eea26.nc,c2_uuid_dc364aad.nc,4.920269016984231,14
c2_uuid_4b4eea26.nc,c2_uuid_fbf4a196.nc,5.147548650096702,15
c2_uuid_4b4eea26.nc,c2_uuid_4df18da4.nc,5.320893053202196,16
c2_uuid_4b4eea26.nc,c2_uuid_4c0d80da.nc,5.749299419395206,17
c2_uuid_4b4eea26.nc,c2_uuid_f544906f.nc,7.266933886293157,18
c2_uuid_4b4eea26.nc,c2_uuid_ec81d97e.nc,9.373759229365785,19
c2_uuid_4c0d80da.nc,c2_uuid_4df18da4.nc,4.434072026870333,1
c2_uuid_4c0d80da.nc,c2_uuid_a8aaadc4.nc,4.598425778975138,2
c2_uuid_4c0d80da.nc,c2_uuid_735327ae.nc,4.701061642655215,3
c2_uuid_4c0d80da.nc,c2_uuid_f544906f.nc,4.725609339438557,4
c2_uuid_4c0d80da.nc,c2_uuid_c6fae318.nc,4.892047552710796,5
c2_uuid_4c0d80da.nc,c2_uuid_dc364aad.nc,4.991213685792029,6
c2_uuid_4c0d80da.nc,c2_uuid_fca79975.nc,5.074620574699569,7
c2_uuid_4c0d80da.nc,c2_uuid_d60e0f4a.nc,5.080759842581951,8
c2_uuid_4c0d80da.nc,c2_uuid_fa40c633.nc,5.181177664196088,9
c2_uuid_4c0d80da.nc,c2_uuid_49511e7b.nc,5.296031994243253,10
c2_uuid_4c0d80da.nc,c2_uuid_aa20f8c4.nc,5.316282141326511,11
c2_uuid_4c0d80da.nc,c2_uuid_aebda966.nc,5.414828631892271,12
c2_uuid_4c0d80da.nc,c2_uuid_eb59c68d.nc,5.600525502055271,13
c2_uuid_4c0d80da.nc,c2_uuid_495c8cf2.nc,5.606060393278419,14
c2_uuid_4c0d80da.nc,c2_uuid_4b4eea26.nc,5.749299419395205,15
c2_uuid_4c0d80da.nc,c2_uuid_fbf4a196.nc,5.819471249398936,16
c2_uuid_4c0d80da.nc,c2_uuid_ff53a69a.nc,5.824667628495791,17
c2_uuid_4c0d80da.nc,c2_uuid_80ab3494.nc,6.188248675403319,18
c2_uuid_4c0d80da.nc,c2_uuid_ec81d97e.nc,8.627181177155451,19
c2_uuid_4df18da4.nc,c2_uuid_735327ae.nc,2.188193228099054,1
c2_uuid_4df18da4.nc,c2_uuid_dc364aad.nc,3.255374069538656,2
c2_uuid_4df18da4.nc,c2_uuid_a8aaadc4.nc,3.3113451104401346,3
c2_uuid_4df18da4.nc,c2_uuid_f544906f.nc,3.3175228459119834,4
c2_uuid_4df18da4.nc,c2_uuid_fca79975.nc,3.6153515042628754,5
c2_uuid_4df18da4.nc,c2_uuid_c6fae318.nc,3.8284461123503033,6
c2_uuid_4df18da4.nc,c2_uuid_aa20f8c4.nc,3.8293283101008195,7
c2_uuid_4df18da4.nc,c2_uuid_d60e0f4a.nc,4.30859065289338,8
c2_uuid_4df18da4.nc,c2_uuid_aebda966.nc,4.349039468670399,9
c2_uuid_4df18da4.nc,c2_uuid_49511e7b.nc,4.366406422336916,10
c2_uuid_4df18da4.nc,c2_uuid_4c0d80da.nc,4.434072026870333,11
c2_uuid_4df18da4.nc,c2_uuid_ff53a69a.nc,4.533424888136381,12
c2_uuid_4df18da4.nc,c2_uuid_fbf4a196.nc,4.58494510304212,13
c2_uuid_4df18da4.nc,c2_uuid_fa40c633.nc,5.076956487334479,14
c2_uuid_4df18da4.nc,c2_uuid_4b4eea26.nc,5.320893053202196,15
c2_uuid_4df18da4.nc,c2_uuid_495c8cf2.nc,5.473298428788975,16
c2_uuid_4df18da4.nc,c2_uuid_80ab3494.nc,5.842189577756383,17
c2_uuid_4df18da4.nc,c2_uuid_eb59c68d.nc,5.875509334329116,18
c2_uuid_4df18da4.nc,c2_uuid_ec81d97e.nc,11.041651025576195,19
c2_uuid_735327ae.nc,c2_uuid_4df18da4.nc,2.188193228099054,1
c2_uuid_735327ae.nc,c2_uuid_dc364aad.nc,2.685008825666013,2
c2_uuid_735327ae.nc,c2_uuid_aa20f8c4.nc,2.7179789692863503,3
c2_uuid_735327ae.nc,c2_uuid_c6fae318.nc,2.826001768118937,4
c2_uuid_735327ae.nc,c2_uuid_49511e7b.nc,2.9208062993065504,5
c2_uuid_735327ae.nc,c2_uuid_aebda966.nc,3.0893195873735753,6
c2_uuid_735327ae.nc,c2_uuid_fca79975.nc,3.138376683405949,7
c2_uuid_735327ae.nc,c2_uuid_a8aaadc4.nc,3.44297832902106,8
c2_uuid_735327ae.nc,c2_uuid_fa40c633.nc,3.8886484801389285,9
c2_uuid_735327ae.nc,c2_uuid_4b4eea26.nc,4.0656195589238635,10
c2_uuid_735327ae.nc,c2_uuid_495c8cf2.nc,4.161930706320518,11
c2_uuid_735327ae.nc,c2_uuid_d60e0f4a.nc,4.1864662192182225,12
c2_uuid_735327ae.nc,c2_uuid_ff53a69a.nc,4.249458531173058,13
c2_uuid_735327ae.nc,c2_uuid_eb59c68d.nc,4.509336193834711,14
c2_uuid_735327ae.nc,c2_uuid_80ab3494.nc,4.5964041554626505,15
c2_uuid_735327ae.nc,c2_uuid_f544906f.nc,4.680091001322133,16
c2_uuid_735327ae.nc,c2_uuid_4c0d80da.nc,4.701061642655215,17
c2_uuid_735327ae.nc,c2_uuid_fbf4a196.nc,4.8556896065957424,18
c2_uuid_735327ae.nc,c2_uuid_ec81d97e.nc,10.398207940536297,19
c2_uuid_80ab3494.nc,c2_uuid_495c8cf2.nc,0.7868567816356893,1
c2_uuid_80ab3494.nc,c2_uuid_4b4eea26.nc,0.8151147375338694,2
c2_uuid_80ab3494.nc,c2_uuid_fa40c633.nc,1.6027791841287264,3
