SID,BASIN,SEASON,NAME,max_wind_kt,min_pressure_hpa,max_category,record_count,first_time,last_time,intensity_class
1842298N11080,NI,1842,UNNAMED,,,-5,65,1842-10-25 03:00:00,1842-11-02 03:00:00,Unknown
1845336N10074,NI,1845,UNNAMED,,,-5,25,1845-12-02 03:00:00,1845-12-05 03:00:00,Unknown
1848011S09079,SI,1848,UNNAMED,,,-5,49,1848-01-11 06:00:00,1848-01-17 06:00:00,Unknown
1848011S09080,SI,1848,UNNAMED,,,-5,89,1848-01-11 06:00:00,1848-01-22 06:00:00,Unknown
1848011S15057,SI,1848,UNNAMED,,,-5,41,1848-01-11 06:00:00,1848-01-16 06:00:00,Unknown
1848011S16057,SI,1848,UNNAMED,,,-5,17,1848-01-11 06:00:00,1848-01-13 06:00:00,Unknown
1848061S12075,SI,1848,UNNAMED,,,-5,53,1848-02-29 18:00:00,1848-03-07 06:00:00,Unknown
1848112S07084,SI,1848,UNNAMED,,,-5,41,1848-04-21 06:00:00,1848-04-26 06:00:00,Unknown
1848112S07444,SI,1848,UNNAMED,,,-5,29,1848-04-20 18:00:00,1848-04-24 06:00:00,Unknown
1851080S15062,SI,1851,UNNAMED,,,-5,45,1851-03-20 18:00:00,1851-03-26 06:00:00,Unknown
1851080S15063,SI,1851,UNNAMED,,,-5,57,1851-03-21 06:00:00,1851-03-28 06:00:00,Unknown
1851080S21060,SI,1851,UNNAMED,,,-5,17,1851-03-21 06:00:00,1851-03-23 06:00:00,Unknown
1851080S21420,SI,1851,UNNAMED,,,-5,13,1851-03-20 18:00:00,1851-03-22 06:00:00,Unknown
1851305S08089,SI,1852,UNNAMED,,,-5,49,1851-11-01 06:00:00,1851-11-07 06:00:00,Unknown
1852001S12077,SI,1852,UNNAMED,,,-5,73,1852-01-01 06:00:00,1852-01-10 06:00:00,Unknown
1852001S13076,SI,1852,UNNAMED,,,-5,57,1852-01-01 06:00:00,1852-01-08 06:00:00,Unknown
1852021S14075,SI,1852,UNNAMED,,,-5,73,1852-01-21 06:00:00,1852-01-30 06:00:00,Unknown
1854032S17059,SI,1854,UNNAMED,,,-5,25,1854-02-01 06:00:00,1854-02-04 06:00:00,Unknown
1854039S18060,SI,1854,UNNAMED,,,-5,13,1854-02-07 18:00:00,1854-02-09 06:00:00,Unknown
1854060S15069,SI,1854,UNNAMED,,,-5,25,1854-03-01 06:00:00,1854-03-04 06:00:00,Unknown
1854060S16069,SI,1854,UNNAMED,,,-5,13,1854-02-28 18:00:00,1854-03-02 06:00:00,Unknown
1854303N14072,NI,1854,UNNAMED,,,-5,25,1854-10-30 03:00:00,1854-11-02 03:00:00,Unknown
1854305S10073,SI,1855,UNNAMED,,,-5,37,1854-10-31 18:00:00,1854-11-05 06:00:00,Unknown
1854325S10073,SI,1855,UNNAMED,,,-5,49,1854-11-21 06:00:00,1854-11-27 06:00:00,Unknown
1855021S14076,SI,1855,UNNAMED,,,-5,57,1855-01-21 06:00:00,1855-01-28 06:00:00,Unknown
1855021S15057,SI,1855,UNNAMED,,,-5,57,1855-01-21 06:00:00,1855-01-28 06:00:00,Unknown
1855121S08073,SI,1855,UNNAMED,,,-5,37,1855-04-30 18:00:00,1855-05-05 06:00:00,Unknown
1855131S08073,SI,1855,UNNAMED,,,-5,49,1855-05-11 06:00:00,1855-05-17 06:00:00,Unknown
1856032S17058,SI,1856,UNNAMED,,,-5,57,1856-02-01 06:00:00,1856-02-08 06:00:00,Unknown
