SID,BASIN,SEASON,NAME,exclusion_reason
 , ,Year, ,Not in target basins
1876273N14301,EP,1876,UNNAMED,Not in target basins
1897005S10135,SP,1897,UNNAMED,Not in target basins
1897026S18128,SP,1897,UNNAMED,Not in target basins
1897342S09138,SP,1898,UNNAMED,Not in target basins
1897357S17121,SP,1898,UNNAMED,Not in target basins
1898034S19152,SP,1898,UNNAMED,Not in target basins
1898125S31156,SP,1898,UNNAMED,Not in target basins
1899011S14125,SP,1899,UNNAMED,Not in target basins
1899035S15139,SP,1899,UNNAMED,Not in target basins
1899063S12145,SP,1899,UNNAMED,Not in target basins
1900061S15124,SP,1900,UNNAMED,Not in target basins
1901031S12112,SP,1901,UNNAMED,Not in target basins
1902035S13122,SP,1902,UNNAMED,Not in target basins
1902116S28155,SP,1902,UNNAMED,Not in target basins
1902276N14266,EP,1902,UNNAMED,Not in target basins
1904190S33142,SP,1905,UNNAMED,Not in target basins
1906029S17147,SP,1906,UNNAMED,Not in target basins
1906061S16149,SP,1906,UNNAMED,Not in target basins
1907018S13147,SP,1907,UNNAMED,Not in target basins
1907070S16118,SP,1907,UNNAMED,Not in target basins
1907306S23131,SP,1908,UNNAMED,Not in target basins
1908007S13140,SP,1908,UNNAMED,Not in target basins
1908072S18150,SP,1908,UNNAMED,Not in target basins
1908117S14124,SP,1908,UNNAMED,Not in target basins
1908214S30142,SP,1909,UNNAMED,Not in target basins
1908342S12122,SP,1909,UNNAMED,Not in target basins
1909030S14153,SP,1909,UNNAMED,Not in target basins
1909033S14140,SP,1909,UNNAMED,Not in target basins
1909070S11140,SP,1909,UNNAMED,Not in target basins
1909160S32154,SP,1909,UNNAMED,Not in target basins
1910020S20136,SP,1910,UNNAMED,Not in target basins
1910025S13148,SP,1910,UNNAMED,Not in target basins
1910027S13148,SP,1910,UNNAMED,Not in target basins
1910062S16128,SP,1910,UNNAMED,Not in target basins
1910270S17120,SP,1911,UNNAMED,Not in target basins
1910322S15120,SP,1911,UNNAMED,Not in target basins
1910351S22139,SP,1911,UNNAMED,Not in target basins
1911003S15138,SP,1911,UNNAMED,Not in target basins
1911013S15139,SP,1911,UNNAMED,Not in target basins
1911013S30150,SP,1911,UNNAMED,Not in target basins
1911041S13143,SP,1911,UNNAMED,Not in target basins
1911042S14145,SP,1911,UNNAMED,Not in target basins
1911075S15147,SP,1911,UNNAMED,Not in target basins
1911077S16147,SP,1911,UNNAMED,Not in target basins
1911080S14149,SP,1911,UNNAMED,Not in target basins
1911082S14149,SP,1911,UNNAMED,Not in target basins
1911247N12303,EP,1911,UNNAMED,Not in target basins
1912006S20155,SP,1912,UNNAMED,Not in target basins
1912008S20155,SP,1912,UNNAMED,Not in target basins
1912065S17120,SP,1912,UNNAMED,Not in target basins
1912075S13137,SP,1912,UNNAMED,Not in target basins
1912096S13147,SP,1912,UNNAMED,Not in target basins
1912098S13147,SP,1912,UNNAMED,Not in target basins
1912105S14152,SP,1912,UNNAMED,Not in target basins
1912107S14152,SP,1912,UNNAMED,Not in target basins
1912127S18164,SP,1912,UNNAMED,Not in target basins
1912173S18137,SP,1912,UNNAMED,Not in target basins
1912194S18135,SP,1913,UNNAMED,Not in target basins
1913007S25144,SP,1913,UNNAMED,Not in target basins
1913008S20135,SP,1913,UNNAMED,Not in target basins
1913012S13154,SP,1913,UNNAMED,Not in target basins
