SID,analysis_lat,analysis_time,analysis_lon
1987303N06088,6.2,1987-10-30T00:00:00,87.8
2011033N06083,6.5,2011-02-02T09:00:00,82.5
2023317N10094,9.9,2023-11-13T06:00:00,94.1
2022224N22067,22.1,2022-08-11T18:00:00,67.2
2001163N20087,19.5,2001-06-12T03:00:00,87.0
2006241N20088,20.5,2006-08-29T03:00:00,87.5
2022324N10086,10.0,2022-11-20T00:00:00,85.5
1989203N18086,18.0,1989-07-22T03:00:00,86.0
1985213N20088,20.0,1985-08-01T03:00:00,88.0
1982168N23090,23.0,1982-06-17T03:00:00,90.0
2006271N18089,17.7,2006-09-28T00:00:00,89.4
2017199N19086,19.0,2017-07-18T00:00:00,86.0
2022254N20085,19.5,2022-09-11T00:00:00,84.7
2011290N15090,15.2,2011-10-17T00:00:00,89.5
1996275N15082,15.0,1996-10-01T03:00:00,82.0
2022140N16097,16.3,2022-05-20T03:00:00,97.3
2018263N17089,17.2,2018-09-19T15:00:00,89.0
1983252N25083,25.0,1983-09-09T00:00:00,82.5
2014141N16091,15.5,2014-05-21T03:00:00,90.5
2024295N15092,15.3,2024-10-21T06:00:00,92.1
2023212N19090,19.0,2023-07-30T12:00:00,90.0
1985279N20072,19.5,1985-10-06T03:00:00,71.5
2015216N23081,22.7,2015-08-04T03:00:00,80.5
2023293N12089,12.4,2023-10-20T06:00:00,88.6
2018136N11054,11.3,2018-05-15T18:00:00,53.7
1982150N13087,13.1,1982-05-30T02:00:00,87.3
2018314N12093,11.7,2018-11-10T03:00:00,92.5
2020327N08086,7.8,2020-11-22T06:00:00,86.1
1982309N12066,11.5,1982-11-04T12:00:00,66.0
1998152N11075,10.6,1998-06-01T06:00:00,74.7
1998320N10102,10.1,1998-11-16T00:00:00,102.3
2019264N19071,19.3,2019-09-20T18:00:00,71.3
2015309N14067,14.0,2015-11-04T12:00:00,66.9
2023292N11063,10.7,2023-10-19T06:00:00,62.6
1993331N07108,7.4,1993-11-27T00:00:00,107.7
1994317N07070,7.5,1994-11-13T00:00:00,69.5
2010151N14065,14.4,2010-05-30T12:00:00,65.0
2013324N07103,7.3,2013-11-19T18:00:00,103.3
1983309N10091,9.6,1983-11-05T06:00:00,91.2
1994117N07096,7.4,1994-04-26T18:00:00,95.5
1989143N17090,16.9,1989-05-23T00:00:00,90.3
1999298N12099,11.5,1999-10-25T00:00:00,99.2
1995323N05097,5.4,1995-11-18T18:00:00,97.2
1988327N06100,5.6,1988-11-21T18:00:00,99.6
2015301N11065,10.7,2015-10-27T12:00:00,65.1
2019296N15066,14.7,2019-10-22T18:00:00,66.4
2019116N02090,1.9,2019-04-25T18:00:00,90.2
2006114N08090,8.4,2006-04-24T06:00:00,90.1
2013281N12098,11.8,2013-10-07T12:00:00,97.6
1999135N12073,12.0,1999-05-15T00:00:00,72.5
1990065S07083,-6.9,1990-03-05T18:00:00,82.9
2000075S17119,-17.1,2000-03-14T18:00:00,118.6
1993056S21051,-20.6,1993-02-24T12:00:00,51.1
1999015S20036,-20.2,1999-01-14T12:00:00,36.1
2022114S12100,-12.0,2022-04-23T18:00:00,100.1
1991046S15122,-15.0,1991-02-15T06:00:00,122.0
2017060S09139,-9.0,2017-03-01T00:00:00,138.5
1989010S15063,-15.0,1989-01-10T06:00:00,62.6
2001039S13117,-13.3,2001-02-07T18:00:00,116.8
2020355S11065,-11.4,2020-12-20T06:00:00,64.9
2008290S05071,-5.2,2008-10-15T18:00:00,70.6
1992048S18067,-17.5,1992-02-16T12:00:00,66.6
2002247S03067,-2.5,2002-09-04T06:00:00,67.2
2022008S13148,-12.6,2022-01-08T00:00:00,147.7
2017332S08098,-7.8,2017-11-27T12:00:00,97.5
1994362S11054,-10.5,1994-12-27T18:00:00,54.0
1988138S07092,-6.8,1988-05-17T03:00:00,91.6
1981069S12135,-11.6,1981-03-09T20:00:00,135.1
2008023S10050,-9.7,2008-01-22T18:00:00,49.8
2007066S12066,-11.6,2007-03-07T00:00:00,66.1
2003098S23041,-23.4,2003-04-08T00:00:00,40.7
2013041S10087,-9.6,2013-02-09T12:00:00,87.0
2023013S08081,-8.2,2023-01-13T06:00:00,81.0
2020053S12119,-12.0,2020-02-22T00:00:00,119.0
2025017S18122,-17.7,2025-01-17T00:00:00,122.2
2020034S17129,-16.7,2020-02-03T00:00:00,129.3
1993348S13120,-13.3,1993-12-14T06:00:00,119.5
2002023S10089,-9.8,2002-01-22T12:00:00,89.1
1996098S13085,-12.8,1996-04-06T12:00:00,85.1
1984339S05102,-5.3,1984-12-03T18:00:00,102.0
1995017S10078,-9.5,1995-01-16T18:00:00,78.0
2004025S16044,-15.8,2004-01-24T12:00:00,44.2
2013052S13126,-13.0,2013-02-21T06:00:00,125.9
1988310S08100,-8.2,1988-11-05T06:00:00,99.7
2006081S14129,-14.0,2006-03-22T00:00:00,128.5
2009342S09140,-8.9,2009-12-08T00:00:00,139.5
2002063S11066,-10.5,2002-03-03T12:00:00,65.8
2000060S17123,-17.3,2000-02-28T22:00:00,123.0
2014007S11104,-11.0,2014-01-07T06:00:00,103.6
2003062S10080,-10.4,2003-03-03T06:00:00,80.4
2024313S06092,-6.4,2024-11-08T06:00:00,92.2
2008062S10064,-10.0,2008-03-02T06:00:00,64.4
1994064S13099,-12.8,1994-03-05T00:00:00,98.6
2018025S09080,-9.4,2018-01-25T06:00:00,80.3
1992096S08132,-8.3,1992-04-04T18:00:00,131.6
2003088S07131,-7.0,2003-03-29T06:00:00,130.6
2002033S13121,-13.1,2002-02-02T04:00:00,120.8
2018073S09129,-9.0,2018-03-14T00:00:00,129.0
2025039S14125,-14.1,2025-02-08T00:00:00,125.4
1992096S05101,-5.3,1992-04-05T06:00:00,100.8
1994197N14115,13.8,1994-07-16T06:00:00,114.5
2013158N13129,12.9,2013-06-06T18:00:00,128.5
2003196N11137,10.5,2003-07-14T12:00:00,136.9
1999204N17117,16.5,1999-07-23T00:00:00,116.8
2025191N19142,19.2,2025-07-09T18:00:00,141.6
1992279N08175,7.8,1992-10-05T00:00:00,174.9
2017209N19118,19.2,2017-07-27T12:00:00,117.9
2018251N20122,20.4,2018-09-08T06:00:00,121.7
2019236N08143,8.4,2019-08-24T06:00:00,142.5
2014160N21120,20.9,2014-06-09T00:00:00,120.0
2009213N16130,15.7,2009-07-31T12:00:00,129.8
2015274N17167,16.9,2015-10-01T06:00:00,166.9
2008226N22134,22.4,2008-08-12T18:00:00,134.3
1988356N05142,5.0,1988-12-21T06:00:00,141.5
1990216N29125,28.6,1990-08-04T00:00:00,125.4
2014093N02148,1.8,2014-04-02T18:00:00,148.4
1989010N16212,15.9,1989-01-09T12:00:00,211.7
2007306N18133,18.0,2007-11-01T18:00:00,132.6
2000184N13133,13.1,2000-07-02T00:00:00,133.4
2023239N18144,18.1,2023-08-27T00:00:00,144.4
2023207N09141,8.9,2023-07-26T06:00:00,141.3
1995287N08163,8.4,1995-10-13T18:00:00,162.5
1990171N11148,11.0,1990-06-20T00:00:00,148.3
2003290N15132,15.1,2003-10-17T06:00:00,131.8
2000299N08139,8.3,2000-10-24T18:00:00,139.3
1989221N10149,10.1,1989-08-09T00:00:00,148.9
1984290N06153,6.0,1984-10-16T00:00:00,153.0
2017200N26162,26.1,2017-07-19T06:00:00,162.1
1980208N23153,22.5,1980-07-26T06:00:00,152.8
1992212N05154,5.0,1992-07-30T00:00:00,154.3
1994222N11267,10.6,1994-08-10T06:00:00,266.9
1986112N02152,1.9,1986-04-22T00:00:00,152.2
1993263N11168,11.3,1993-09-20T06:00:00,167.5
2016256N12146,12.4,2016-09-11T12:00:00,146.1
2018294N08161,8.3,2018-10-20T18:00:00,160.8
2009270N10148,9.9,2009-09-27T00:00:00,147.5
1994224N20152,20.0,1994-08-12T00:00:00,152.0
1987244N11177,11.0,1987-09-01T06:00:00,177.0
2011233N12129,11.9,2011-08-21T06:00:00,128.8
2022239N22150,21.7,2022-08-27T00:00:00,150.1
2016355N07146,6.9,2016-12-20T00:00:00,145.5
2012263N15141,14.9,2012-09-19T00:00:00,140.7
1985284N05159,5.1,1985-10-11T00:00:00,159.4
2023234N18128,18.2,2023-08-22T00:00:00,128.0
2025260N13138,13.2,2025-09-16T18:00:00,137.7
2013306N07162,6.6,2013-11-02T06:00:00,161.6
2021265N11150,10.8,2021-09-22T06:00:00,150.0
1986134N08149,8.3,1986-05-14T00:00:00,148.6
1980277N09157,9.4,1980-10-02T12:00:00,156.5
