ID,Type,RequestedTimestamp,RequestedLat,RequestedLon,ERA5Timestamp,CenterLat,CenterLon,GridDistanceKm,QC_Status
1987303N06088,TC,1987-10-30T00:00:00,6.2,87.8,1987-10-30T00:00:00,6.25,87.75,7.8395,PASSED
2011033N06083,TC,2011-02-02T09:00:00,6.5,82.5,2011-02-02T09:00:00,6.5,82.5,0.0,PASSED
2023317N10094,TC,2023-11-13T06:00:00,9.9,94.1,2023-11-13T06:00:00,10.0,94.0,15.6075,PASSED
2022224N22067,TC,2022-08-11T18:00:00,22.1,67.2,2022-08-11T18:00:00,22.0,67.25,12.2555,PASSED
2001163N20087,TC,2001-06-12T03:00:00,19.5,87.0,2001-06-12T03:00:00,19.5,87.0,0.0,PASSED
2006241N20088,TC,2006-08-29T03:00:00,20.5,87.5,2006-08-29T03:00:00,20.5,87.5,0.0,PASSED
2022324N10086,TC,2022-11-20T00:00:00,10.0,85.5,2022-11-20T00:00:00,10.0,85.5,0.0,PASSED
1989203N18086,TC,1989-07-22T03:00:00,18.0,86.0,1989-07-22T03:00:00,18.0,86.0,0.0,PASSED
1985213N20088,TC,1985-08-01T03:00:00,20.0,88.0,1985-08-01T03:00:00,20.0,88.0,0.0,PASSED
1982168N23090,TC,1982-06-17T03:00:00,23.0,90.0,1982-06-17T03:00:00,23.0,90.0,0.0,PASSED
2006271N18089,TC,2006-09-28T00:00:00,17.7,89.4,2006-09-28T00:00:00,17.75,89.5,11.9622,PASSED
2017199N19086,TC,2017-07-18T00:00:00,19.0,86.0,2017-07-18T00:00:00,19.0,86.0,0.0,PASSED
2022254N20085,TC,2022-09-11T00:00:00,19.5,84.7,2022-09-11T00:00:00,19.5,84.75,5.2409,PASSED
2011290N15090,TC,2011-10-17T00:00:00,15.2,89.5,2011-10-17T00:00:00,15.25,89.5,5.5598,PASSED
1996275N15082,TC,1996-10-01T03:00:00,15.0,82.0,1996-10-01T03:00:00,15.0,82.0,0.0,PASSED
2022140N16097,TC,2022-05-20T03:00:00,16.3,97.3,2022-05-20T03:00:00,16.25,97.25,7.7068,PASSED
2018263N17089,TC,2018-09-19T15:00:00,17.2,89.0,2018-09-19T15:00:00,17.25,89.0,5.5598,PASSED
1983252N25083,TC,1983-09-09T00:00:00,25.0,82.5,1983-09-09T00:00:00,25.0,82.5,0.0,PASSED
2014141N16091,TC,2014-05-21T03:00:00,15.5,90.5,2014-05-21T03:00:00,15.5,90.5,0.0,PASSED
2024295N15092,TC,2024-10-21T06:00:00,15.3,92.1,2024-10-21T06:00:00,15.25,92.0,12.0819,PASSED
2023212N19090,TC,2023-07-30T12:00:00,19.0,90.0,2023-07-30T12:00:00,19.0,90.0,0.0,PASSED
