case_id,case_type,case_timestamp,C_phi,shell_grid_count,QC_Status
1987303N06088,TC,1987-10-30T00:00:00,0.6515092806222473,91,PASSED
2011033N06083,TC,2011-02-02T09:00:00,0.7083088570855615,92,PASSED
2023317N10094,TC,2023-11-13T06:00:00,0.6370131441974753,86,PASSED
2022224N22067,TC,2022-08-11T18:00:00,0.6653760417857887,93,PASSED
2001163N20087,TC,2001-06-12T03:00:00,0.6192286004380748,92,PASSED
2006241N20088,TC,2006-08-29T03:00:00,0.8081807304187834,92,PASSED
2022324N10086,TC,2022-11-20T00:00:00,0.6891007152315041,92,PASSED
1989203N18086,TC,1989-07-22T03:00:00,0.8208925417675562,92,PASSED
1985213N20088,TC,1985-08-01T03:00:00,0.79439883956678,92,PASSED
1982168N23090,TC,1982-06-17T03:00:00,0.7770565527994213,92,PASSED
2006271N18089,TC,2006-09-28T00:00:00,0.5471546173853405,92,PASSED
2017199N19086,TC,2017-07-18T00:00:00,0.9137394152188546,92,PASSED
2022254N20085,TC,2022-09-11T00:00:00,0.7801541573829952,93,PASSED
2011290N15090,TC,2011-10-17T00:00:00,0.7906466083873733,91,PASSED
1996275N15082,TC,1996-10-01T03:00:00,0.9353578723065439,92,PASSED
2022140N16097,TC,2022-05-20T03:00:00,0.5284084340297723,93,PASSED
2018263N17089,TC,2018-09-19T15:00:00,0.7309579217596703,93,PASSED
1983252N25083,TC,1983-09-09T00:00:00,0.6849517396317903,94,PASSED
2014141N16091,TC,2014-05-21T03:00:00,0.4997002513916302,92,PASSED
2024295N15092,TC,2024-10-21T06:00:00,0.89220308880223,91,PASSED
2023212N19090,TC,2023-07-30T12:00:00,0.5644206361882687,92,PASSED
1985279N20072,TC,1985-10-06T03:00:00,0.9018121460324834,92,PASSED
2015216N23081,TC,2015-08-04T03:00:00,0.7737038117706958,93,PASSED
2023293N12089,TC,2023-10-20T06:00:00,0.7257049632505969,86,PASSED
2018136N11054,TC,2018-05-15T18:00:00,0.6990725822643183,91,PASSED
1982150N13087,TC,1982-05-30T02:00:00,0.6171786263811317,89,PASSED
2018314N12093,TC,2018-11-10T03:00:00,0.6172862983143942,91,PASSED
2020327N08086,TC,2020-11-22T06:00:00,0.8305168085460792,88,PASSED
1982309N12066,TC,1982-11-04T12:00:00,0.7408070319594742,92,PASSED
1998152N11075,TC,1998-06-01T06:00:00,0.608641786792641,89,PASSED
1998320N10102,TC,1998-11-16T00:00:00,0.698580274944447,89,PASSED
2019264N19071,TC,2019-09-20T18:00:00,0.9552529910605091,94,PASSED
2015309N14067,TC,2015-11-04T12:00:00,0.8240226237486231,93,PASSED
2023292N11063,TC,2023-10-19T06:00:00,0.7947488062412196,90,PASSED
1993331N07108,TC,1993-11-27T00:00:00,0.5526295837161066,87,PASSED
1994317N07070,TC,1994-11-13T00:00:00,0.6646633883684234,92,PASSED
2010151N14065,TC,2010-05-30T12:00:00,0.8913202870921434,88,PASSED
2013324N07103,TC,2013-11-19T18:00:00,0.6027758408246244,91,PASSED
1983309N10091,TC,1983-11-05T06:00:00,0.6305149511111681,89,PASSED
1994117N07096,TC,1994-04-26T18:00:00,0.6528933331548353,88,PASSED
1989143N17090,TC,1989-05-23T00:00:00,0.6896399847510425,90,PASSED
1999298N12099,TC,1999-10-25T00:00:00,0.673206772736636,89,PASSED
1995323N05097,TC,1995-11-18T18:00:00,0.7167698356998619,87,PASSED
1988327N06100,TC,1988-11-21T18:00:00,0.5913826030203017,85,PASSED
2015301N11065,TC,2015-10-27T12:00:00,0.8612434182773602,90,PASSED
2019296N15066,TC,2019-10-22T18:00:00,0.7827854678766095,91,PASSED
2019116N02090,TC,2019-04-25T18:00:00,0.7905614853618971,86,PASSED
2006114N08090,TC,2006-04-24T06:00:00,0.6443974453230835,86,PASSED
2013281N12098,TC,2013-10-07T12:00:00,0.6354095465218468,90,PASSED
1999135N12073,TC,1999-05-15T00:00:00,0.5881758114098209,92,PASSED
1990065S07083,TC,1990-03-05T18:00:00,0.5864840484678377,86,PASSED
2000075S17119,TC,2000-03-14T18:00:00,0.6665767954347519,89,PASSED
1993056S21051,TC,1993-02-24T12:00:00,0.5941234430658189,91,PASSED
1999015S20036,TC,1999-01-14T12:00:00,0.6504696270975934,98,PASSED
2022114S12100,TC,2022-04-23T18:00:00,0.6871961184015213,91,PASSED
1991046S15122,TC,1991-02-15T06:00:00,0.8473736698953964,92,PASSED
2017060S09139,TC,2017-03-01T00:00:00,0.7683175888859395,92,PASSED
