ControlID,Basin,Month,LMC,Timestamp,Latitude,Longitude,RandomRank,StratumID,Status
CTRL_001,NI,2,5to10,1992-02-22T18:00:00,5.9,88.5,1,NI_2_5to10,Selected
STANDBY_001,NI,2,5to10,2017-02-04T00:00:00,7.7,97.6,2,NI_2_5to10,Standby
STANDBY_002,NI,2,5to10,1985-02-16T18:00:00,5.2,93.7,3,NI_2_5to10,Standby
STANDBY_003,NI,2,5to10,2005-02-02T18:00:00,5.9,98.3,4,NI_2_5to10,Standby
STANDBY_004,NI,2,5to10,1995-02-10T00:00:00,9.7,86.5,5,NI_2_5to10,Standby
STANDBY_005,NI,2,5to10,1984-02-29T18:00:00,7.6,50.8,6,NI_2_5to10,Standby
STANDBY_006,NI,2,5to10,2006-02-24T06:00:00,7.2,89.3,7,NI_2_5to10,Standby
STANDBY_007,NI,2,5to10,2005-02-09T06:00:00,6.9,79.4,8,NI_2_5to10,Standby
STANDBY_008,NI,2,5to10,2010-02-21T06:00:00,8.3,59.4,9,NI_2_5to10,Standby
STANDBY_009,NI,2,5to10,2009-02-07T18:00:00,9.6,96.4,10,NI_2_5to10,Standby
STANDBY_010,NI,2,5to10,2010-02-16T06:00:00,9.6,68.9,11,NI_2_5to10,Standby
STANDBY_011,NI,2,5to10,2009-02-25T12:00:00,7.8,55.6,12,NI_2_5to10,Standby
STANDBY_012,NI,2,5to10,1997-02-24T12:00:00,9.2,63.4,13,NI_2_5to10,Standby
STANDBY_013,NI,2,5to10,2016-02-13T18:00:00,8.5,72.9,14,NI_2_5to10,Standby
STANDBY_014,NI,2,5to10,2002-02-19T12:00:00,5.1,69.0,15,NI_2_5to10,Standby
STANDBY_015,NI,2,5to10,2008-02-24T12:00:00,8.9,50.5,16,NI_2_5to10,Standby
STANDBY_016,NI,2,5to10,2000-02-24T06:00:00,8.9,59.5,17,NI_2_5to10,Standby
STANDBY_017,NI,2,5to10,1998-02-11T18:00:00,9.1,82.3,18,NI_2_5to10,Standby
STANDBY_018,NI,2,5to10,1995-02-16T06:00:00,8.8,54.1,19,NI_2_5to10,Standby
STANDBY_019,NI,2,5to10,1981-02-05T00:00:00,5.3,97.6,20,NI_2_5to10,Standby
STANDBY_020,NI,2,5to10,2005-02-04T00:00:00,5.7,59.0,21,NI_2_5to10,Standby
CTRL_001,NI,4,0to5,2009-04-28T06:00:00,2.1,52.7,1,NI_4_0to5,Selected
STANDBY_001,NI,4,0to5,2020-04-03T06:00:00,3.7,75.8,2,NI_4_0to5,Standby
STANDBY_002,NI,4,0to5,2025-04-12T06:00:00,0.1,80.2,3,NI_4_0to5,Standby
STANDBY_003,NI,4,0to5,1987-04-17T06:00:00,2.3,94.6,4,NI_4_0to5,Standby
STANDBY_004,NI,4,0to5,2016-04-18T00:00:00,4.6,54.0,5,NI_4_0to5,Standby
STANDBY_005,NI,4,0to5,2018-04-24T06:00:00,4.0,55.5,6,NI_4_0to5,Standby
STANDBY_006,NI,4,0to5,2006-04-26T00:00:00,1.5,63.6,7,NI_4_0to5,Standby
STANDBY_007,NI,4,0to5,1997-04-27T00:00:00,2.0,59.7,8,NI_4_0to5,Standby
STANDBY_008,NI,4,0to5,2011-04-02T06:00:00,2.9,57.5,9,NI_4_0to5,Standby
STANDBY_009,NI,4,0to5,2022-04-08T12:00:00,3.9,76.7,10,NI_4_0to5,Standby
STANDBY_010,NI,4,0to5,1992-04-29T12:00:00,4.6,91.9,11,NI_4_0to5,Standby
STANDBY_011,NI,4,0to5,2019-04-10T00:00:00,4.6,84.2,12,NI_4_0to5,Standby
STANDBY_012,NI,4,0to5,1993-04-17T18:00:00,1.2,81.2,13,NI_4_0to5,Standby
STANDBY_013,NI,4,0to5,2018-04-17T18:00:00,1.6,47.1,14,NI_4_0to5,Standby
STANDBY_014,NI,4,0to5,1992-04-11T18:00:00,2.1,97.1,15,NI_4_0to5,Standby
STANDBY_015,NI,4,0to5,1981-04-22T00:00:00,4.8,67.3,16,NI_4_0to5,Standby
STANDBY_016,NI,4,0to5,2004-04-23T00:00:00,1.1,98.3,17,NI_4_0to5,Standby
STANDBY_017,NI,4,0to5,1996-04-10T18:00:00,4.1,94.3,18,NI_4_0to5,Standby
STANDBY_018,NI,4,0to5,2018-04-09T00:00:00,4.2,72.3,19,NI_4_0to5,Standby
STANDBY_019,NI,4,0to5,1998-04-14T00:00:00,1.1,65.0,20,NI_4_0to5,Standby
STANDBY_020,NI,4,0to5,1990-04-18T00:00:00,2.2,57.7,21,NI_4_0to5,Standby
CTRL_001,NI,4,5to10,2021-04-23T06:00:00,9.1,80.0,1,NI_4_5to10,Selected
CTRL_002,NI,4,5to10,2003-04-17T12:00:00,6.2,71.7,2,NI_4_5to10,Selected
STANDBY_001,NI,4,5to10,2012-04-29T18:00:00,7.6,93.7,3,NI_4_5to10,Standby
STANDBY_002,NI,4,5to10,1998-04-11T12:00:00,7.3,75.9,4,NI_4_5to10,Standby
STANDBY_003,NI,4,5to10,2017-04-30T00:00:00,9.0,67.2,5,NI_4_5to10,Standby
STANDBY_004,NI,4,5to10,2011-04-07T06:00:00,9.8,96.5,6,NI_4_5to10,Standby
STANDBY_005,NI,4,5to10,2006-04-03T12:00:00,8.6,83.1,7,NI_4_5to10,Standby
STANDBY_006,NI,4,5to10,2024-04-07T00:00:00,9.2,94.4,8,NI_4_5to10,Standby
STANDBY_007,NI,4,5to10,1999-04-17T06:00:00,5.5,55.1,9,NI_4_5to10,Standby
STANDBY_008,NI,4,5to10,1994-04-01T12:00:00,7.0,76.7,10,NI_4_5to10,Standby
STANDBY_009,NI,4,5to10,2011-04-11T12:00:00,6.0,69.7,11,NI_4_5to10,Standby
STANDBY_010,NI,4,5to10,1982-04-26T12:00:00,8.4,94.3,12,NI_4_5to10,Standby
STANDBY_011,NI,4,5to10,2016-04-08T06:00:00,9.2,54.6,13,NI_4_5to10,Standby
STANDBY_012,NI,4,5to10,2013-04-28T06:00:00,9.1,66.5,14,NI_4_5to10,Standby
STANDBY_013,NI,4,5to10,2003-04-02T18:00:00,8.5,91.2,15,NI_4_5to10,Standby
STANDBY_014,NI,4,5to10,1994-04-03T18:00:00,8.3,97.6,16,NI_4_5to10,Standby
STANDBY_015,NI,4,5to10,1990-04-03T18:00:00,6.8,57.6,17,NI_4_5to10,Standby
STANDBY_016,NI,4,5to10,2020-04-25T00:00:00,5.1,72.8,18,NI_4_5to10,Standby
STANDBY_017,NI,4,5to10,1999-04-13T00:00:00,5.4,83.8,19,NI_4_5to10,Standby
STANDBY_018,NI,4,5to10,2001-04-12T06:00:00,7.2,84.8,20,NI_4_5to10,Standby
STANDBY_019,NI,4,5to10,1997-04-21T06:00:00,7.8,61.6,21,NI_4_5to10,Standby
STANDBY_020,NI,4,5to10,1996-04-04T00:00:00,6.2,93.7,22,NI_4_5to10,Standby
CTRL_001,NI,5,10to15,2023-05-16T12:00:00,13.0,64.9,1,NI_5_10to15,Selected
CTRL_002,NI,5,10to15,2013-05-23T18:00:00,13.5,81.9,2,NI_5_10to15,Selected
CTRL_003,NI,5,10to15,1996-05-29T12:00:00,11.0,87.3,3,NI_5_10to15,Selected
CTRL_004,NI,5,10to15,1996-05-17T18:00:00,11.5,83.5,4,NI_5_10to15,Selected
STANDBY_001,NI,5,10to15,2011-05-10T06:00:00,10.6,65.5,5,NI_5_10to15,Standby
STANDBY_002,NI,5,10to15,2008-05-10T12:00:00,13.4,59.8,6,NI_5_10to15,Standby
STANDBY_003,NI,5,10to15,1993-05-19T06:00:00,10.2,88.8,7,NI_5_10to15,Standby
STANDBY_004,NI,5,10to15,2022-05-31T06:00:00,13.8,93.5,8,NI_5_10to15,Standby
STANDBY_005,NI,5,10to15,2023-05-13T12:00:00,13.0,52.7,9,NI_5_10to15,Standby
STANDBY_006,NI,5,10to15,1985-05-04T18:00:00,14.6,89.7,10,NI_5_10to15,Standby
STANDBY_007,NI,5,10to15,1995-05-07T06:00:00,12.4,50.8,11,NI_5_10to15,Standby
STANDBY_008,NI,5,10to15,1980-05-22T12:00:00,12.0,90.4,12,NI_5_10to15,Standby
STANDBY_009,NI,5,10to15,1995-05-13T18:00:00,14.7,51.5,13,NI_5_10to15,Standby
STANDBY_010,NI,5,10to15,2025-05-13T00:00:00,14.9,92.8,14,NI_5_10to15,Standby
STANDBY_011,NI,5,10to15,2021-05-05T00:00:00,12.2,70.3,15,NI_5_10to15,Standby
STANDBY_012,NI,5,10to15,2010-05-30T12:00:00,11.6,53.3,16,NI_5_10to15,Standby
STANDBY_013,NI,5,10to15,2024-05-16T18:00:00,14.9,55.5,17,NI_5_10to15,Standby
STANDBY_014,NI,5,10to15,2007-05-31T18:00:00,10.0,92.4,18,NI_5_10to15,Standby
STANDBY_015,NI,5,10to15,1989-05-07T12:00:00,10.7,88.0,19,NI_5_10to15,Standby
STANDBY_016,NI,5,10to15,2000-05-14T12:00:00,13.7,62.6,20,NI_5_10to15,Standby
STANDBY_017,NI,5,10to15,2013-05-18T06:00:00,11.9,62.1,21,NI_5_10to15,Standby
STANDBY_018,NI,5,10to15,1987-05-19T06:00:00,14.7,82.6,22,NI_5_10to15,Standby
STANDBY_019,NI,5,10to15,2008-05-04T12:00:00,14.3,60.0,23,NI_5_10to15,Standby
STANDBY_020,NI,5,10to15,2024-05-17T12:00:00,13.9,64.3,24,NI_5_10to15,Standby
CTRL_001,NI,5,15to20,2010-05-04T12:00:00,16.1,64.6,1,NI_5_15to20,Selected
CTRL_002,NI,5,15to20,2000-05-26T00:00:00,16.1,97.3,2,NI_5_15to20,Selected
CTRL_003,NI,5,15to20,2012-05-29T00:00:00,15.5,40.8,3,NI_5_15to20,Selected
STANDBY_001,NI,5,15to20,1993-05-17T18:00:00,19.8,60.2,4,NI_5_15to20,Standby
STANDBY_002,NI,5,15to20,1998-05-18T06:00:00,15.0,50.8,5,NI_5_15to20,Standby
STANDBY_003,NI,5,15to20,1981-05-22T06:00:00,16.0,53.1,6,NI_5_15to20,Standby
STANDBY_004,NI,5,15to20,1988-05-19T00:00:00,18.7,60.0,7,NI_5_15to20,Standby
STANDBY_005,NI,5,15to20,2019-05-24T18:00:00,17.9,62.2,8,NI_5_15to20,Standby
STANDBY_006,NI,5,15to20,1981-05-10T18:00:00,15.7,87.0,9,NI_5_15to20,Standby
STANDBY_007,NI,5,15to20,1985-05-12T12:00:00,17.0,42.5,10,NI_5_15to20,Standby
STANDBY_008,NI,5,15to20,1985-05-14T00:00:00,19.5,89.3,11,NI_5_15to20,Standby
STANDBY_009,NI,5,15to20,1996-05-29T18:00:00,15.8,70.5,12,NI_5_15to20,Standby
STANDBY_010,NI,5,15to20,1990-05-11T12:00:00,16.5,93.6,13,NI_5_15to20,Standby
STANDBY_011,NI,5,15to20,1982-05-25T18:00:00,16.1,68.9,14,NI_5_15to20,Standby
STANDBY_012,NI,5,15to20,1992-05-02T00:00:00,18.1,69.9,15,NI_5_15to20,Standby
STANDBY_013,NI,5,15to20,1981-05-27T12:00:00,19.5,89.3,16,NI_5_15to20,Standby
STANDBY_014,NI,5,15to20,1994-05-06T00:00:00,16.2,41.3,17,NI_5_15to20,Standby
STANDBY_015,NI,5,15to20,2023-05-20T18:00:00,19.6,59.4,18,NI_5_15to20,Standby
STANDBY_016,NI,5,15to20,2023-05-11T18:00:00,18.8,58.7,19,NI_5_15to20,Standby
STANDBY_017,NI,5,15to20,1995-05-23T00:00:00,19.0,71.4,20,NI_5_15to20,Standby
STANDBY_018,NI,5,15to20,1980-05-12T06:00:00,15.5,52.0,21,NI_5_15to20,Standby
STANDBY_019,NI,5,15to20,2005-05-18T12:00:00,15.4,81.4,22,NI_5_15to20,Standby
STANDBY_020,NI,5,15to20,1984-05-16T06:00:00,18.3,60.2,23,NI_5_15to20,Standby
CTRL_001,NI,6,10to15,1992-06-01T12:00:00,14.9,93.7,1,NI_6_10to15,Selected
STANDBY_001,NI,6,10to15,2022-06-13T18:00:00,11.8,82.5,2,NI_6_10to15,Standby
STANDBY_002,NI,6,10to15,2022-06-23T06:00:00,14.2,62.9,3,NI_6_10to15,Standby
STANDBY_003,NI,6,10to15,1997-06-14T12:00:00,11.7,74.9,4,NI_6_10to15,Standby
STANDBY_004,NI,6,10to15,2011-06-20T12:00:00,10.4,69.2,5,NI_6_10to15,Standby
STANDBY_005,NI,6,10to15,2005-06-14T06:00:00,12.8,93.7,6,NI_6_10to15,Standby
STANDBY_006,NI,6,10to15,2012-06-11T12:00:00,12.1,81.0,7,NI_6_10to15,Standby
STANDBY_007,NI,6,10to15,2016-06-13T00:00:00,13.1,68.4,8,NI_6_10to15,Standby
STANDBY_008,NI,6,10to15,2015-06-10T18:00:00,14.2,86.5,9,NI_6_10to15,Standby
STANDBY_009,NI,6,10to15,1986-06-20T00:00:00,13.6,43.0,10,NI_6_10to15,Standby
STANDBY_010,NI,6,10to15,1986-06-08T18:00:00,12.2,75.0,11,NI_6_10to15,Standby
STANDBY_011,NI,6,10to15,2010-06-10T18:00:00,12.1,88.5,12,NI_6_10to15,Standby
STANDBY_012,NI,6,10to15,2012-06-10T00:00:00,13.4,68.5,13,NI_6_10to15,Standby
STANDBY_013,NI,6,10to15,1998-06-23T12:00:00,10.7,54.3,14,NI_6_10to15,Standby
STANDBY_014,NI,6,10to15,1991-06-10T18:00:00,11.7,95.3,15,NI_6_10to15,Standby
STANDBY_015,NI,6,10to15,2017-06-10T00:00:00,13.3,55.0,16,NI_6_10to15,Standby
STANDBY_016,NI,6,10to15,2000-06-03T06:00:00,10.1,53.0,17,NI_6_10to15,Standby
STANDBY_017,NI,6,10to15,1983-06-02T18:00:00,11.9,65.2,18,NI_6_10to15,Standby
STANDBY_018,NI,6,10to15,2005-06-19T12:00:00,13.6,86.3,19,NI_6_10to15,Standby
STANDBY_019,NI,6,10to15,2022-06-18T06:00:00,11.6,44.9,20,NI_6_10to15,Standby
STANDBY_020,NI,6,10to15,2021-06-11T18:00:00,12.9,87.7,21,NI_6_10to15,Standby
CTRL_001,NI,6,15to20,2018-06-14T12:00:00,17.5,42.1,1,NI_6_15to20,Selected
STANDBY_001,NI,6,15to20,2025-06-16T18:00:00,19.3,87.6,2,NI_6_15to20,Standby
STANDBY_002,NI,6,15to20,2021-06-26T00:00:00,17.5,67.1,3,NI_6_15to20,Standby
STANDBY_003,NI,6,15to20,1992-06-18T12:00:00,18.8,66.0,4,NI_6_15to20,Standby
STANDBY_004,NI,6,15to20,2019-06-13T00:00:00,15.4,97.0,5,NI_6_15to20,Standby
STANDBY_005,NI,6,15to20,1991-06-21T06:00:00,17.1,87.8,6,NI_6_15to20,Standby
STANDBY_006,NI,6,15to20,2022-06-03T00:00:00,16.9,83.4,7,NI_6_15to20,Standby
STANDBY_007,NI,6,15to20,1993-06-14T00:00:00,16.6,55.3,8,NI_6_15to20,Standby
STANDBY_008,NI,6,15to20,2001-06-28T00:00:00,19.5,91.0,9,NI_6_15to20,Standby
STANDBY_009,NI,6,15to20,2023-06-24T12:00:00,16.2,86.8,10,NI_6_15to20,Standby
STANDBY_010,NI,6,15to20,2022-06-16T06:00:00,18.6,40.8,11,NI_6_15to20,Standby
STANDBY_011,NI,6,15to20,1993-06-20T12:00:00,16.1,56.5,12,NI_6_15to20,Standby
STANDBY_012,NI,6,15to20,1980-06-08T00:00:00,15.4,58.2,13,NI_6_15to20,Standby
STANDBY_013,NI,6,15to20,1990-06-03T00:00:00,17.5,71.3,14,NI_6_15to20,Standby
STANDBY_014,NI,6,15to20,1992-06-30T12:00:00,15.3,70.0,15,NI_6_15to20,Standby
STANDBY_015,NI,6,15to20,1998-06-30T06:00:00,19.7,58.9,16,NI_6_15to20,Standby
STANDBY_016,NI,6,15to20,1989-06-28T00:00:00,15.3,40.4,17,NI_6_15to20,Standby
STANDBY_017,NI,6,15to20,1990-06-24T00:00:00,15.2,97.6,18,NI_6_15to20,Standby
STANDBY_018,NI,6,15to20,2010-06-27T06:00:00,17.4,41.2,19,NI_6_15to20,Standby
STANDBY_019,NI,6,15to20,2024-06-18T06:00:00,18.1,85.7,20,NI_6_15to20,Standby
STANDBY_020,NI,6,15to20,2000-06-21T18:00:00,16.2,56.1,21,NI_6_15to20,Standby
CTRL_001,NI,6,20to25,2021-06-01T18:00:00,21.8,66.4,1,NI_6_20to25,Selected
STANDBY_001,NI,6,20to25,2022-06-03T00:00:00,23.0,65.9,2,NI_6_20to25,Standby
STANDBY_002,NI,6,20to25,1995-06-22T06:00:00,24.9,61.2,3,NI_6_20to25,Standby
STANDBY_003,NI,6,20to25,2000-06-18T06:00:00,23.7,66.7,4,NI_6_20to25,Standby
STANDBY_004,NI,6,20to25,2013-06-05T18:00:00,20.6,64.1,5,NI_6_20to25,Standby
STANDBY_005,NI,6,20to25,1995-06-14T00:00:00,23.4,61.0,6,NI_6_20to25,Standby
STANDBY_006,NI,6,20to25,1991-06-13T06:00:00,23.5,58.8,7,NI_6_20to25,Standby
STANDBY_007,NI,6,20to25,2020-06-12T18:00:00,20.7,69.1,8,NI_6_20to25,Standby
STANDBY_008,NI,6,20to25,1985-06-27T06:00:00,21.5,60.9,9,NI_6_20to25,Standby
STANDBY_009,NI,6,20to25,2008-06-17T12:00:00,22.3,66.3,10,NI_6_20to25,Standby
STANDBY_010,NI,6,20to25,1987-06-23T06:00:00,24.1,63.3,11,NI_6_20to25,Standby
STANDBY_011,NI,6,20to25,2010-06-28T00:00:00,22.8,62.0,12,NI_6_20to25,Standby
STANDBY_012,NI,6,20to25,2005-06-02T06:00:00,24.8,62.6,13,NI_6_20to25,Standby
STANDBY_013,NI,6,20to25,1980-06-27T12:00:00,23.9,61.1,14,NI_6_20to25,Standby
STANDBY_014,NI,6,20to25,1986-06-18T00:00:00,20.6,92.1,15,NI_6_20to25,Standby
STANDBY_015,NI,6,20to25,1993-06-10T18:00:00,21.3,66.0,16,NI_6_20to25,Standby
STANDBY_016,NI,6,20to25,2012-06-25T12:00:00,23.9,57.7,17,NI_6_20to25,Standby
STANDBY_017,NI,6,20to25,2019-06-30T12:00:00,21.9,61.7,18,NI_6_20to25,Standby
STANDBY_018,NI,6,20to25,2006-06-02T06:00:00,24.0,66.5,19,NI_6_20to25,Standby
STANDBY_019,NI,6,20to25,1985-06-11T12:00:00,21.8,68.5,20,NI_6_20to25,Standby
STANDBY_020,NI,6,20to25,2022-06-25T00:00:00,20.1,67.5,21,NI_6_20to25,Standby
CTRL_001,NI,7,15to20,1983-07-19T12:00:00,18.8,88.8,1,NI_7_15to20,Selected
CTRL_002,NI,7,15to20,1987-07-27T00:00:00,19.2,63.9,2,NI_7_15to20,Selected
CTRL_003,NI,7,15to20,2012-07-17T12:00:00,15.1,40.7,3,NI_7_15to20,Selected
STANDBY_001,NI,7,15to20,1983-07-27T18:00:00,16.3,87.4,4,NI_7_15to20,Standby
STANDBY_002,NI,7,15to20,2024-07-14T00:00:00,18.3,58.8,5,NI_7_15to20,Standby
STANDBY_003,NI,7,15to20,1993-07-04T18:00:00,19.7,93.5,6,NI_7_15to20,Standby
STANDBY_004,NI,7,15to20,2025-07-29T00:00:00,19.0,61.1,7,NI_7_15to20,Standby
STANDBY_005,NI,7,15to20,1985-07-17T18:00:00,15.2,64.0,8,NI_7_15to20,Standby
STANDBY_006,NI,7,15to20,1999-07-22T06:00:00,18.9,62.5,9,NI_7_15to20,Standby
STANDBY_007,NI,7,15to20,1996-07-02T18:00:00,15.2,63.2,10,NI_7_15to20,Standby
STANDBY_008,NI,7,15to20,2013-07-03T06:00:00,16.8,87.0,11,NI_7_15to20,Standby
STANDBY_009,NI,7,15to20,1993-07-12T00:00:00,17.1,60.7,12,NI_7_15to20,Standby
STANDBY_010,NI,7,15to20,1994-07-12T18:00:00,18.4,91.7,13,NI_7_15to20,Standby
STANDBY_011,NI,7,15to20,2007-07-29T12:00:00,16.2,63.3,14,NI_7_15to20,Standby
STANDBY_012,NI,7,15to20,2008-07-29T18:00:00,15.5,59.3,15,NI_7_15to20,Standby
STANDBY_013,NI,7,15to20,1996-07-30T06:00:00,15.4,53.8,16,NI_7_15to20,Standby
STANDBY_014,NI,7,15to20,2009-07-31T06:00:00,15.4,54.6,17,NI_7_15to20,Standby
STANDBY_015,NI,7,15to20,1995-07-25T00:00:00,15.4,73.4,18,NI_7_15to20,Standby
STANDBY_016,NI,7,15to20,1991-07-20T12:00:00,19.9,63.9,19,NI_7_15to20,Standby
STANDBY_017,NI,7,15to20,1995-07-21T00:00:00,16.8,72.9,20,NI_7_15to20,Standby
STANDBY_018,NI,7,15to20,1980-07-21T00:00:00,15.2,91.3,21,NI_7_15to20,Standby
STANDBY_019,NI,7,15to20,1988-07-28T00:00:00,15.3,68.5,22,NI_7_15to20,Standby
STANDBY_020,NI,7,15to20,1984-07-02T06:00:00,16.3,89.4,23,NI_7_15to20,Standby
CTRL_001,NI,8,20to25,2021-08-25T18:00:00,23.4,66.3,1,NI_8_20to25,Selected
CTRL_002,NI,8,20to25,1984-08-29T18:00:00,24.4,59.2,2,NI_8_20to25,Selected
CTRL_003,NI,8,20to25,2001-08-24T12:00:00,23.8,60.8,3,NI_8_20to25,Selected
CTRL_004,NI,8,20to25,2016-08-28T18:00:00,22.7,66.4,4,NI_8_20to25,Selected
STANDBY_001,NI,8,20to25,1996-08-21T12:00:00,22.7,62.2,5,NI_8_20to25,Standby
STANDBY_002,NI,8,20to25,2001-08-06T06:00:00,20.2,86.6,6,NI_8_20to25,Standby
STANDBY_003,NI,8,20to25,1995-08-02T00:00:00,21.0,61.9,7,NI_8_20to25,Standby
STANDBY_004,NI,8,20to25,2024-08-01T00:00:00,20.8,59.8,8,NI_8_20to25,Standby
STANDBY_005,NI,8,20to25,1994-08-14T00:00:00,21.1,67.4,9,NI_8_20to25,Standby
STANDBY_006,NI,8,20to25,2023-08-25T12:00:00,24.0,57.1,10,NI_8_20to25,Standby
STANDBY_007,NI,8,20to25,2010-08-24T12:00:00,21.6,63.0,11,NI_8_20to25,Standby
STANDBY_008,NI,8,20to25,1981-08-12T06:00:00,23.7,60.4,12,NI_8_20to25,Standby
